corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
QOC is saving this optimization run to ./out/00001_hamil_500_2_2_2.h5.
iter   |   total error  |    grads_l2   
 118   | 8.90882370e-01 | 3.17298401e-02
 119   | 8.90240425e-01 | 2.74183911e-02
 120   | 8.89647325e-01 | 2.27250278e-02
 121   | 8.89145659e-01 | 1.78456813e-02
 122   | 8.88760915e-01 | 1.29621427e-02
 123   | 8.88501819e-01 | 8.23513355e-03
 124   | 8.88362575e-01 | 3.82118217e-03
 125   | 8.88326339e-01 | 9.72912260e-04
 126   | 8.88369198e-01 | 4.13040935e-03
 127   | 8.88464113e-01 | 7.23052843e-03
 128   | 8.88584412e-01 | 9.81484395e-03
 129   | 8.88706567e-01 | 1.18478407e-02
 130   | 8.88812086e-01 | 1.33320461e-02
 131   | 8.88888422e-01 | 1.42924102e-02
 132   | 8.88929009e-01 | 1.47679462e-02
 133   | 8.88932620e-01 | 1.48036127e-02
 134   | 8.88902344e-01 | 1.44443958e-02
 135   | 8.88844414e-01 | 1.37334340e-02
 136   | 8.88767035e-01 | 1.27139729e-02
 137   | 8.88679262e-01 | 1.14329596e-02
 138   | 8.88589966e-01 | 9.94349352e-03
 139   | 8.88506936e-01 | 8.30438954e-03
 140   | 8.88436191e-01 | 6.57703903e-03
 141   | 8.88381583e-01 | 4.82159098e-03
 142   | 8.88344706e-01 | 3.09628750e-03
 143   | 8.88325079e-01 | 1.47658459e-03
 144   | 8.88320535e-01 | 5.82074165e-04
 145   | 8.88327710e-01 | 1.71331376e-03
 146   | 8.88342592e-01 | 2.92446689e-03
 147   | 8.88361058e-01 | 3.95563030e-03
 148   | 8.88379354e-01 | 4.76932705e-03
 149   | 8.88394489e-01 | 5.35212291e-03
 150   | 8.88404458e-01 | 5.70471099e-03
 151   | 8.88408319e-01 | 5.83863057e-03
 152   | 8.88406099e-01 | 5.77271100e-03
