corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
corner_terms_flags [[ True  True False False]
 [ True False  True False]
 [False  True False  True]
 [False False  True  True]]
single_qubit_flags [[ True False False False]
 [False  True False False]
 [False False  True False]
 [False False False  True]]
plaquette_terms_flags [[ 1 -1 -1  1]]
QOC is saving this optimization run to ./out/00000_hamil_500_3_2_2.h5.
iter   |   total error  |    grads_l2   
 118   | 9.34945401e-01 | 3.74067081e-02
 119   | 9.32920586e-01 | 4.13619163e-02
 120   | 9.30522957e-01 | 4.54948094e-02
 121   | 9.27716750e-01 | 4.96539385e-02
 122   | 9.24481465e-01 | 5.36187809e-02
 123   | 9.20820857e-01 | 5.70973138e-02
 124   | 9.16772159e-01 | 5.97349145e-02
 125   | 9.12413874e-01 | 6.11373675e-02
 126   | 9.07870198e-01 | 6.09084978e-02
 127   | 9.03310050e-01 | 5.87001210e-02
 128   | 8.98938918e-01 | 5.42691193e-02
 129   | 8.94982246e-01 | 4.75338951e-02
 130   | 8.91660156e-01 | 3.86205527e-02
 131   | 8.89155069e-01 | 2.78886025e-02
 132   | 8.87576578e-01 | 1.59307369e-02
 133   | 8.86931492e-01 | 3.69087089e-03
 134   | 8.87109981e-01 | 8.87475989e-03
 135   | 8.87898223e-01 | 1.98209883e-02
 136   | 8.89020050e-01 | 2.90985406e-02
 137   | 8.90195679e-01 | 3.63317460e-02
 138   | 8.91195236e-01 | 4.14340168e-02
 139   | 8.91869067e-01 | 4.45008708e-02
 140   | 8.92152038e-01 | 4.57139585e-02
 141   | 8.92050540e-01 | 4.52763665e-02
 142   | 8.91622635e-01 | 4.33885285e-02
 143   | 8.90957806e-01 | 4.02518781e-02
 144   | 8.90158923e-01 | 3.60817528e-02
 145   | 8.89327148e-01 | 3.11157101e-02
 146   | 8.88550070e-01 | 2.56107268e-02
 147   | 8.87893491e-01 | 1.98295481e-02
 148   | 8.87397251e-01 | 1.40220576e-02
 149   | 8.87075131e-01 | 8.41294271e-03
 150   | 8.86918205e-01 | 3.24673170e-03
 151   | 8.86900496e-01 | 2.04245429e-03
 152   | 8.86985601e-01 | 6.04097209e-03
 153   | 8.87133187e-01 | 9.56377567e-03
 154   | 8.87304593e-01 | 1.24180483e-02
 155   | 8.87467071e-01 | 1.45794865e-02
 156   | 8.87596398e-01 | 1.60641310e-02
 157   | 8.87677826e-01 | 1.69141117e-02
 158   | 8.87705618e-01 | 1.71859400e-02
 159   | 8.87681642e-01 | 1.69395715e-02
 160   | 8.87613524e-01 | 1.62320148e-02
 161   | 8.87512722e-01 | 1.51174378e-02
 162   | 8.87392676e-01 | 1.36520631e-02
 163   | 8.87267087e-01 | 1.18996286e-02
 164   | 8.87148382e-01 | 9.93344383e-03
 165   | 8.87046460e-01 | 7.83369344e-03
 166   | 8.86967877e-01 | 5.68204759e-03
 167   | 8.86915553e-01 | 3.55939016e-03
 168   | 8.86888989e-01 | 1.57521664e-03
 169   | 8.86884870e-01 | 8.15124601e-04
 170   | 8.86897896e-01 | 2.32877332e-03
 171   | 8.86921710e-01 | 3.80652913e-03
 172   | 8.86949824e-01 | 5.04062883e-03
 173   | 8.86976443e-01 | 5.98888165e-03
 174   | 8.86997105e-01 | 6.63568325e-03
 175   | 8.87009050e-01 | 6.98412142e-03
 176   | 8.87011280e-01 | 7.05215522e-03
 177   | 8.87004352e-01 | 6.86757461e-03
 178   | 8.86989999e-01 | 6.46316062e-03
 179   | 8.86970673e-01 | 5.87386268e-03
 180   | 8.86949092e-01 | 5.13639136e-03
 181   | 8.86927842e-01 | 4.29001630e-03
 182   | 8.86909058e-01 | 3.37684844e-03
 183   | 8.86894215e-01 | 2.44100069e-03
 184   | 8.86884035e-01 | 1.52952750e-03
 185   | 8.86878531e-01 | 7.20760156e-04
 186   | 8.86877135e-01 | 4.98497154e-04
 187   | 8.86878887e-01 | 1.07005768e-03
 188   | 8.86882633e-01 | 1.66572107e-03
 189   | 8.86887204e-01 | 2.16893063e-03
 190   | 8.86891564e-01 | 2.55796073e-03
 191   | 8.86894913e-01 | 2.82510286e-03
 192   | 8.86896753e-01 | 2.97013391e-03
 193   | 8.86896898e-01 | 2.99926013e-03
 194   | 8.86895439e-01 | 2.92382328e-03
 195   | 8.86892680e-01 | 2.75845582e-03
